DISTRICT,DD000A001219R,DD000A001319R,DD000A001S19R,DD200A001219R,DD200A001319R,DD200A001S19R,DD300A001219R,DD300A001319R,DD300A001S19R,DD400A001219R,DD400A001319R,DD400A001S19R,DDA00A001219R,DDA00A001319R,DDA00A001S19R,DDB00A001219R,DDB00A001319R,DDB00A001S19R,DDE00A001219R,DDE00A001319R,DDE00A001S19R,DDF00A001219R,DDF00A001319R,DDF00A001S19R,DDH00A001219R,DDH00A001319R,DDH00A001S19R,DDI00A001219R,DDI00A001319R,DDI00A001S19R,DDL00A001219R,DDL00A001319R,DDL00A001S19R,DDM00A001219R,DDM00A001319R,DDM00A001S19R,DDR00A001219R,DDR00A001319R,DDR00A001S19R,DDS00A001219R,DDS00A001319R,DDS00A001S19R,DDW00A001219R,DDW00A001319R,DDW00A001S19R,DNC00A001219R,DNC00A001319R,DNC00A001S19R,DNM00A001219R,DNM00A001319R,DNM00A001S19R,DNS00A001219R,DNS00A001319R,DNS00A001S19R
'172905,35,12,64,23,11,75,-1,-1,-1,.,.,.,36,14,73,16,5,55,30,12,70,39,14,79,36,13,68,29,0,71,23,5,52,34,14,67,18,5,59,19,8,35,42,17,78,39,15,75,28,9,66,38,19,74
'173901,-1,-1,-1,17,17,100,.,.,.,.,.,.,48,21,79,.,.,.,46,17,79,44,19,77,45,15,78,.,.,.,-1,-1,-1,52,22,81,28,5,61,4,0,27,51,23,78,50,22,82,44,18,74,40,20,60
'174801,60,45,90,100,75,100,83,44,94,.,.,.,80,51,97,29,21,86,70,10,100,82,48,99,75,45,94,.,.,.,60,45,90,78,53,95,61,33,93,60,34,91,83,53,99,78,47,97,84,62,98,79,42,95
'174901,21,7,58,19,3,65,67,17,100,.,.,.,46,20,76,8,0,42,38,15,68,45,19,77,32,13,63,.,.,.,13,0,54,46,21,74,22,5,61,21,1,24,52,24,80,44,20,76,50,21,75,61,21,88
'174902,29,17,81,37,12,76,50,30,90,-1,-1,-1,51,22,85,48,25,81,45,19,82,53,25,88,50,24,88,71,43,100,16,16,63,49,19,82,33,11,76,37,22,59,52,21,85,50,23,85,54,19,85,50,29,92
'174903,45,13,81,50,18,86,66,55,86,.,.,.,51,19,83,31,6,67,40,14,76,48,15,82,48,16,84,-1,-1,-1,27,3,76,52,21,83,26,4,67,10,4,39,56,21,86,52,18,84,49,21,79,67,48,100
'174904,31,10,65,47,20,75,89,60,96,-1,-1,-1,37,15,67,23,7,53,32,12,64,38,15,71,36,13,70,82,55,100,25,8,60,35,15,64,23,6,57,18,5,32,58,30,79,36,14,67,41,20,67,29,13,67
'174906,53,21,88,77,23,100,85,38,100,.,.,.,64,29,92,100,20,100,60,25,90,66,30,92,63,30,94,.,.,.,51,19,87,62,29,91,45,15,84,33,17,63,63,29,91,66,30,94,58,27,86,45,18,73
'174908,26,7,70,61,16,94,74,56,96,.,.,.,57,29,86,31,13,76,40,16,76,60,31,89,43,17,81,-1,-1,-1,22,3,63,55,27,82,26,6,66,24,11,42,62,33,87,59,30,87,52,27,82,53,28,95
'174909,20,6,59,52,28,96,.,.,.,.,.,.,45,19,80,28,10,80,37,11,79,48,22,85,30,11,71,.,.,.,19,6,58,43,16,76,24,5,67,13,3,41,50,21,82,46,19,82,44,19,78,71,36,100
'174910,.,.,.,-1,-1,-1,.,.,.,.,.,.,21,7,48,-1,-1,-1,20,9,43,23,7,45,0,0,40,.,.,.,.,.,.,20,7,50,12,2,37,11,3,24,22,7,50,16,4,43,28,12,55,25,13,75
'174911,26,3,54,56,27,83,70,20,100,.,.,.,53,22,80,33,8,57,37,11,69,58,26,88,51,18,71,43,14,100,23,4,52,49,19,74,20,5,57,17,7,35,55,24,83,57,24,82,36,14,73,59,22,88
'175902,20,8,59,37,13,69,-1,-1,-1,20,0,80,38,14,74,28,3,69,30,10,69,41,14,80,27,8,66,-1,-1,-1,14,7,53,35,13,69,23,7,63,28,18,41,44,17,79,40,15,75,34,12,72,57,43,100
'175903,34,12,71,39,15,71,55,33,82,39,13,71,42,17,74,25,9,57,37,14,70,44,17,77,41,15,75,33,5,43,24,8,63,40,17,71,23,7,61,25,10,43,56,27,85,42,17,75,38,15,68,36,18,73
'175904,19,4,58,45,10,79,.,.,.,.,.,.,39,13,72,25,6,63,37,11,70,42,14,78,33,11,67,25,17,58,13,5,55,37,12,68,24,7,59,21,6,37,43,14,75,41,14,74,36,11,70,23,8,54
'175905,33,15,67,40,7,73,.,.,.,.,.,.,42,15,77,43,7,93,38,14,72,44,17,80,37,14,70,.,.,.,24,11,60,40,14,74,30,9,68,22,6,39,44,17,80,42,16,79,42,15,73,31,31,77
'175907,24,7,57,30,10,60,-1,-1,-1,.,.,.,41,13,74,25,8,60,36,12,70,43,14,75,41,13,73,-1,-1,-1,20,5,48,39,12,72,25,5,63,8,4,25,49,16,81,45,13,76,31,12,67,18,6,59
'175910,38,9,74,57,36,86,58,42,92,38,25,88,50,23,80,29,8,75,40,14,76,53,24,85,57,23,85,0,0,70,20,3,60,48,21,76,23,5,61,16,5,35,50,23,79,53,23,83,44,23,74,29,0,57
'175911,25,9,63,23,0,77,.,.,.,.,.,.,37,14,73,46,11,83,31,12,69,40,17,75,33,13,68,.,.,.,14,4,47,34,12,70,15,3,54,6,0,19,44,18,80,37,15,72,38,12,74,8,0,58
'176901,.,.,.,15,0,77,.,.,.,.,.,.,33,15,65,23,10,50,29,12,63,36,14,70,.,.,.,-1,-1,-1,.,.,.,29,15,60,17,6,56,21,10,36,37,17,70,29,12,65,39,19,66,.,.,.
'176902,.,.,.,36,18,72,25,0,100,.,.,.,37,13,71,24,6,60,32,10,68,42,15,76,49,22,87,63,50,63,.,.,.,34,11,67,22,5,60,20,9,42,48,17,79,38,14,72,36,10,70,25,7,57
'176903,.,.,.,83,50,83,-1,-1,-1,.,.,.,44,17,78,12,6,82,40,15,76,47,18,82,29,18,58,36,9,73,.,.,.,41,16,74,23,5,61,14,4,44,45,17,79,44,19,78,44,14,78,36,14,50
'177901,25,6,65,27,0,73,.,.,.,.,.,.,43,15,78,42,8,83,32,7,69,45,17,78,36,10,72,.,.,.,18,6,61,41,14,78,21,4,63,24,12,49,52,22,85,42,15,77,45,15,80,-1,-1,-1
'177902,21,9,57,32,4,68,52,26,81,.,.,.,35,13,66,20,8,53,27,9,60,35,13,70,30,11,62,17,0,67,14,4,52,34,13,64,17,3,52,17,5,33,43,17,74,35,13,67,32,12,65,31,8,72
'177903,20,0,80,.,.,.,.,.,.,.,.,.,58,28,86,.,.,.,47,13,81,58,26,88,50,16,86,-1,-1,-1,20,0,80,59,29,84,38,5,76,12,0,41,62,31,86,60,29,85,55,25,87,.,.,.
'177905,.,.,.,.,.,.,-1,-1,-1,.,.,.,71,37,92,.,.,.,48,19,85,70,40,93,68,31,90,.,.,.,.,.,.,72,35,91,42,12,82,27,12,58,72,39,92,73,39,93,65,34,87,67,22,100
'178801,22,14,58,-1,-1,-1,-1,-1,-1,.,.,.,30,13,63,0,0,38,27,11,62,25,11,61,32,14,65,.,.,.,22,14,58,34,15,65,28,12,61,10,0,45,20,0,40,24,12,59,32,14,65,-1,-1,-1
'178807,40,7,93,30,0,60,45,0,91,.,.,.,34,12,71,19,6,81,32,11,76,36,12,75,33,10,67,.,.,.,17,0,83,31,10,64,14,0,86,7,0,48,50,35,92,37,13,69,31,11,73,.,.,.
'178808,48,4,87,73,49,98,78,61,100,.,.,.,58,29,90,-1,-1,-1,55,40,85,55,27,90,48,19,88,-1,-1,-1,33,0,80,60,31,89,27,10,73,31,10,60,59,30,89,60,32,91,55,27,88,79,37,100
'178901,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,45,17,81,11,11,44,41,14,80,43,15,82,42,15,81,.,.,.,.,.,.,47,20,81,29,9,74,8,0,36,58,29,86,45,18,81,45,17,82,-1,-1,-1
'178902,52,21,82,50,0,50,69,38,88,.,.,.,58,27,84,50,23,68,53,23,81,61,27,86,56,25,83,67,67,100,48,20,79,55,27,82,36,12,68,29,15,51,70,41,89,60,28,85,55,25,82,36,11,71
'178903,49,24,79,56,22,81,82,58,98,60,50,100,57,28,85,35,11,67,47,20,78,59,29,86,52,23,82,67,33,83,40,20,71,56,27,84,30,9,68,26,12,54,68,37,91,60,30,87,50,23,80,50,21,86
'178904,36,15,68,58,26,85,83,56,95,45,20,75,45,19,76,40,16,72,37,14,70,47,20,78,42,17,74,54,21,81,28,10,62,43,18,73,25,7,62,27,11,47,58,31,83,45,19,76,44,19,74,42,19,74
'178905,27,20,80,-1,-1,-1,.,.,.,.,.,.,61,34,92,78,67,100,54,27,90,60,31,94,58,31,91,.,.,.,-1,-1,-1,62,37,89,31,10,79,23,2,70,85,58,98,58,33,91,67,37,94,50,31,88
'178906,43,17,71,85,60,100,81,62,98,-1,-1,-1,66,32,91,63,26,70,56,24,85,67,34,91,59,24,88,-1,-1,-1,8,0,46,65,30,90,35,11,65,39,17,52,74,39,93,67,32,90,66,32,91,38,13,88
'178908,43,36,57,63,42,84,93,73,100,.,.,.,69,38,91,-1,-1,-1,51,29,82,67,36,90,65,39,88,67,33,67,27,18,45,70,39,91,42,15,77,37,13,64,69,37,91,74,42,94,62,32,87,53,24,88
'178909,34,18,63,50,33,100,.,.,.,.,.,.,34,13,63,22,7,56,31,12,61,37,14,68,33,13,63,.,.,.,29,15,57,30,11,58,19,5,49,23,11,39,47,14,75,35,14,64,27,9,60,34,14,58
'178912,41,17,70,75,36,94,74,37,84,-1,-1,-1,50,20,80,47,19,81,42,16,74,52,22,83,48,19,79,58,17,92,37,15,67,47,18,78,26,6,65,23,10,42,56,25,86,52,22,82,42,16,76,42,21,81
