DISTRICT,DD000A001223R,DD000A001323R,DD000A001S23R,DD200A001223R,DD200A001323R,DD200A001S23R,DD300A001223R,DD300A001323R,DD300A001S23R,DD400A001223R,DD400A001323R,DD400A001S23R,DDA00A001223R,DDA00A001323R,DDA00A001S23R,DDB00A001223R,DDB00A001323R,DDB00A001S23R,DDE00A001223R,DDE00A001323R,DDE00A001S23R,DDF00A001223R,DDF00A001323R,DDF00A001S23R,DDH00A001223R,DDH00A001323R,DDH00A001S23R,DDI00A001223R,DDI00A001323R,DDI00A001S23R,DDL00A001223R,DDL00A001323R,DDL00A001S23R,DDM00A001223R,DDM00A001323R,DDM00A001S23R,DDR00A001223R,DDR00A001323R,DDR00A001S23R,DDS00A001223R,DDS00A001323R,DDS00A001S23R,DDW00A001223R,DDW00A001323R,DDW00A001S23R,DISTNAME,DNC00A001223R,DNC00A001323R,DNC00A001S23R,DNM00A001223R,DNM00A001323R,DNM00A001S23R,DNS00A001223R,DNS00A001323R,DNS00A001S23R
"'123914",29,5,65,51,16,79,66,45,100,-1,-1,-1,50,17,82,41,12,73,39,9,74,51,17,83,40,11,73,73,27,82,25,5,62,49,17,81,31,6,72,22,6,52,55,19,86,"HAMSHIRE-FANNETT ISD",52,17,83,46,15,78,47,12,87
"'124901",42,15,76,.,.,.,-1,-1,-1,.,.,.,40,12,73,.,.,.,37,11,71,46,13,79,40,11,73,-1,-1,-1,41,14,76,35,11,68,27,9,59,24,9,45,45,14,79,"JIM HOGG COUNTY ISD",40,12,73,40,11,78,38,25,81
"'125901",33,5,66,79,58,95,80,47,100,-1,-1,-1,34,9,65,38,17,74,30,8,61,36,9,67,33,9,64,.,.,.,26,2,60,32,9,63,18,3,53,25,9,45,41,14,68,"ALICE ISD",34,9,65,35,11,65,24,6,59
"'125902",45,10,85,-1,-1,-1,.,.,.,.,.,.,36,11,72,.,.,.,33,9,70,34,9,72,36,11,72,.,.,.,39,11,83,39,13,72,24,6,63,29,10,56,44,17,74,"BEN BOLT-PALITO BLANCO ISD",36,11,72,38,10,73,0,0,22
"'125903",44,15,74,79,26,95,100,60,100,.,.,.,57,23,82,-1,-1,-1,48,16,77,59,25,84,51,18,79,.,.,.,41,16,72,56,22,81,31,6,66,27,11,45,67,32,88,"ORANGE GROVE ISD",58,24,82,56,22,82,64,24,86
"'125905",39,7,75,.,.,.,.,.,.,.,.,.,34,7,70,.,.,.,31,6,68,32,7,71,34,7,70,.,.,.,33,8,71,36,8,69,18,3,60,18,2,46,64,20,88,"PREMONT ISD",31,6,68,41,9,75,47,18,94
"'125906",.,.,.,.,.,.,.,.,.,.,.,.,40,9,74,.,.,.,30,3,68,37,10,61,37,9,71,.,.,.,.,.,.,43,9,89,25,3,56,21,0,57,75,13,100,"LA GLORIA ISD",45,10,78,31,8,67,43,14,100
"'126901",27,7,60,38,16,72,71,36,79,.,.,.,41,12,72,36,8,65,35,9,68,41,12,72,35,9,67,31,6,69,26,7,59,41,13,71,28,7,61,22,4,44,48,16,77,"ALVARADO ISD",42,13,72,39,12,72,33,10,67
"'126902",43,17,73,55,21,82,75,45,90,45,20,83,53,21,80,40,14,71,42,14,73,55,22,82,46,16,76,39,6,75,40,14,71,52,21,79,30,6,65,24,6,51,58,24,83,"BURLESON ISD",56,23,82,45,17,75,49,18,79
"'126903",27,7,61,39,15,71,61,10,90,23,2,59,40,12,72,31,6,64,34,8,67,40,12,74,33,9,67,38,9,63,26,6,61,40,12,70,26,6,61,25,7,47,49,16,78,"CLEBURNE ISD",41,12,72,38,11,70,43,14,73
"'126904",38,8,73,65,15,84,60,40,60,.,.,.,67,25,90,55,10,97,54,16,84,67,27,91,55,17,84,77,15,92,34,6,71,66,24,90,39,8,75,30,10,56,70,28,92,"GRANDVIEW ISD",69,26,92,62,24,87,66,10,95
"'126905",41,11,73,60,23,90,74,42,92,44,38,69,58,22,84,52,13,78,47,14,77,59,22,86,49,15,79,46,15,87,38,9,71,58,22,83,33,6,69,23,5,51,64,26,87,"JOSHUA ISD",61,24,86,52,17,80,56,20,88
"'126906",37,8,74,60,23,91,95,38,100,31,7,71,52,17,83,48,20,77,46,14,80,54,18,85,54,16,83,43,0,100,35,7,73,50,16,81,29,6,70,26,6,53,57,21,87,"KEENE ISD",50,17,82,55,16,84,78,26,91
"'126907",25,1,58,42,9,78,.,.,.,.,.,.,48,15,79,56,22,89,43,12,78,44,14,76,38,10,67,56,11,100,21,2,53,52,16,83,29,6,66,22,9,51,50,16,82,"RIO VISTA ISD",50,16,79,45,14,79,32,6,74
"'126908",19,3,57,38,7,77,39,7,82,86,0,100,32,8,67,27,8,61,31,8,66,33,8,69,30,7,64,0,0,20,19,3,57,31,8,66,19,3,58,16,3,39,39,13,74,"VENUS ISD",35,9,70,26,7,60,21,4,58
"'126911",31,8,68,48,11,82,-1,-1,-1,20,0,60,46,14,78,42,4,85,36,8,71,46,13,77,36,8,71,44,11,100,30,7,67,47,14,79,27,4,66,19,4,49,52,17,81,"GODLEY ISD",46,13,79,48,14,77,53,18,78
"'127901",6,0,56,50,15,77,-1,-1,-1,50,0,83,46,14,78,23,0,77,36,9,70,43,11,77,40,10,76,-1,-1,-1,6,0,56,49,16,78,26,5,65,23,5,52,52,18,79,"ANSON ISD",48,14,79,42,13,75,46,23,88
"'127903",13,0,56,63,19,81,-1,-1,-1,.,.,.,36,10,69,8,0,46,31,7,66,40,8,76,34,7,69,.,.,.,10,0,55,34,11,64,29,6,65,10,1,31,45,17,67,"HAMLIN COLLEGIATE ISD",39,11,73,32,8,61,42,8,100
"'127904",0,0,17,58,16,79,-1,-1,-1,-1,-1,-1,43,10,75,-1,-1,-1,35,6,70,49,12,79,32,6,72,.,.,.,0,0,17,38,7,72,22,6,55,15,1,43,46,11,76,"HAWLEY ISD",43,9,75,43,10,74,32,0,74
"'127905",.,.,.,39,0,67,.,.,.,.,.,.,41,14,69,.,.,.,42,16,67,42,12,78,44,19,75,.,.,.,.,.,.,41,16,60,36,18,58,29,23,54,41,15,66,"LUEDERS-AVOCA ISD",43,13,69,40,15,68,-1,-1,-1
"'127906",53,11,87,54,14,93,83,50,100,.,.,.,52,15,84,24,4,52,42,8,78,53,14,85,44,7,81,100,80,100,43,9,84,51,16,83,33,4,74,12,2,56,64,24,90,"STAMFORD ISD",54,17,85,46,11,82,82,18,100
"'128901",22,5,55,34,11,66,52,17,75,17,8,58,29,7,60,14,2,39,23,5,56,29,7,61,30,7,61,13,5,58,19,4,53,28,7,59,18,3,49,15,5,38,35,10,69,"KARNES CITY ISD",40,11,73,25,6,56,21,5,48
"'128902",28,3,77,42,11,84,43,0,86,.,.,.,34,7,71,20,13,67,33,6,71,36,7,74,35,7,71,.,.,.,25,2,76,33,8,68,22,4,61,17,7,46,31,11,65,"KENEDY ISD",34,7,71,35,8,71,47,6,86
"'128903",-1,-1,-1,.,.,.,.,.,.,.,.,.,17,3,44,-1,-1,-1,13,1,40,25,6,47,14,2,42,.,.,.,-1,-1,-1,10,1,42,6,2,33,5,0,18,40,25,65,"RUNGE ISD",17,4,45,16,3,41,.,.,.
"'128904",55,25,90,75,33,92,.,.,.,.,.,.,77,40,94,.,.,.,62,30,86,77,40,93,68,26,88,.,.,.,58,26,89,77,41,94,55,21,82,36,14,65,79,45,95,"FALLS CITY ISD",77,40,94,75,41,92,90,55,95
"'129901",27,7,61,46,16,81,57,35,86,29,0,43,40,13,72,33,12,67,34,10,66,41,13,73,36,10,67,31,9,50,24,5,58,40,14,71,22,4,58,19,8,44,52,19,82,"CRANDALL ISD",46,17,76,34,10,66,38,14,70
