DISTRICT,DD000A001218R,DD000A001318R,DD000A001S18R,DD200A001218R,DD200A001318R,DD200A001S18R,DD300A001218R,DD300A001318R,DD300A001S18R,DD400A001218R,DD400A001318R,DD400A001S18R,DDA00A001218R,DDA00A001318R,DDA00A001S18R,DDB00A001218R,DDB00A001318R,DDB00A001S18R,DDE00A001218R,DDE00A001318R,DDE00A001S18R,DDF00A001218R,DDF00A001318R,DDF00A001S18R,DDH00A001218R,DDH00A001318R,DDH00A001S18R,DDI00A001218R,DDI00A001318R,DDI00A001S18R,DDL00A001218R,DDL00A001318R,DDL00A001S18R,DDM00A001218R,DDM00A001318R,DDM00A001S18R,DDR00A001218R,DDR00A001318R,DDR00A001S18R,DDS00A001218R,DDS00A001318R,DDS00A001S18R,DDW00A001218R,DDW00A001318R,DDW00A001S18R,DNC00A001218R,DNC00A001318R,DNC00A001S18R,DNM00A001218R,DNM00A001318R,DNM00A001S18R,DNS00A001218R,DNS00A001318R,DNS00A001S18R
'018905,27,7,52,-1,-1,-1,.,.,.,.,.,.,29,7,58,.,.,.,24,5,56,32,10,68,27,5,55,.,.,.,19,7,45,26,5,52,21,6,46,8,0,24,31,10,63,35,9,62,17,3,52,17,0,83
'018906,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,52,22,84,.,.,.,46,17,79,54,23,85,43,20,82,.,.,.,-1,-1,-1,50,22,83,40,16,71,22,6,53,56,24,85,55,26,88,43,12,74,-1,-1,-1
'018907,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,34,12,68,.,.,.,32,10,69,34,15,67,27,9,68,.,.,.,.,.,.,34,9,69,21,3,55,12,5,26,34,13,68,31,11,68,37,14,68,-1,-1,-1
'018908,12,0,42,-1,-1,-1,.,.,.,.,.,.,36,10,58,-1,-1,-1,34,10,53,36,10,59,28,8,51,.,.,.,12,0,42,36,10,57,16,3,43,3,0,19,43,11,65,35,11,55,40,6,63,.,.,.
'019901,22,1,50,37,11,67,.,.,.,.,.,.,38,13,69,21,5,53,31,8,63,43,16,73,24,7,56,33,0,58,15,2,43,34,12,66,10,1,45,11,3,27,47,18,77,38,14,69,38,12,70,28,3,72
'019902,38,15,76,48,11,83,-1,-1,-1,.,.,.,51,19,81,28,7,60,44,15,78,52,20,84,46,19,83,-1,-1,-1,30,17,70,50,18,79,26,5,64,20,6,37,56,22,84,53,20,83,48,18,79,54,16,86
'019903,.,.,.,21,4,54,.,.,.,-1,-1,-1,37,14,73,27,2,58,36,14,71,43,17,78,55,23,77,40,0,100,.,.,.,33,12,69,18,4,54,21,5,35,38,15,74,37,15,74,39,13,70,20,10,85
'019905,28,13,56,41,13,76,-1,-1,-1,-1,-1,-1,39,14,71,26,8,60,35,12,68,42,15,74,41,14,72,-1,-1,-1,26,11,54,37,13,68,21,4,58,25,8,45,44,17,75,40,14,71,37,13,70,30,7,70
'019906,46,11,86,31,12,54,53,11,84,-1,-1,-1,53,22,82,27,8,55,45,16,75,58,24,86,51,15,88,20,0,60,39,11,78,49,21,78,30,7,65,16,5,41,55,23,83,54,22,82,51,22,83,0,0,67
'019907,36,11,72,56,24,82,83,56,97,60,60,80,44,19,74,25,8,60,32,11,66,45,20,76,43,15,78,68,34,85,27,6,65,42,18,72,19,4,56,20,7,35,64,33,88,45,20,75,41,17,71,35,10,72
'019908,14,5,49,31,12,64,13,0,50,-1,-1,-1,29,9,61,22,5,52,25,7,58,32,11,64,34,11,72,63,21,84,5,0,37,27,8,58,15,3,47,17,6,31,40,14,73,32,11,63,22,6,56,12,0,37
'019909,.,.,.,48,12,68,.,.,.,.,.,.,43,17,73,-1,-1,-1,37,14,69,47,21,77,34,5,71,36,27,91,.,.,.,40,14,70,22,5,61,6,2,27,43,18,73,43,17,73,42,17,73,29,13,63
'019910,.,.,.,20,20,80,.,.,.,.,.,.,50,23,90,.,.,.,46,20,88,46,14,93,22,11,89,-1,-1,-1,.,.,.,52,30,88,44,25,84,-1,-1,-1,53,25,90,55,25,93,32,18,79,-1,-1,-1
'019911,.,.,.,71,43,93,-1,-1,-1,.,.,.,74,43,94,-1,-1,-1,65,25,92,76,46,95,70,23,95,75,50,100,.,.,.,73,39,93,47,13,78,19,2,43,74,43,94,76,43,94,67,39,94,75,40,100
'019912,53,24,80,48,19,80,80,49,91,-1,-1,-1,62,27,88,46,12,79,46,16,80,63,28,90,52,22,87,60,20,87,38,12,68,61,26,87,34,7,73,32,8,56,67,30,91,64,28,89,58,25,87,52,20,82
'019913,5,0,40,0,0,60,.,.,.,.,.,.,31,11,72,.,.,.,28,9,70,35,13,80,15,3,52,-1,-1,-1,5,0,40,24,7,61,14,5,52,5,0,35,38,17,83,27,5,75,35,17,70,29,14,100
'019914,.,.,.,14,0,43,.,.,.,.,.,.,27,11,63,0,0,0,26,12,64,26,12,62,-1,-1,-1,.,.,.,.,.,.,30,8,64,9,2,35,16,6,39,30,12,66,25,11,65,30,11,60,.,.,.
'020901,38,18,70,62,31,86,79,52,94,44,22,78,47,21,76,42,16,74,35,12,68,49,22,79,38,14,70,40,8,72,27,12,60,44,19,73,25,7,60,19,5,40,53,24,80,48,22,77,43,17,74,42,18,75
'020902,36,11,72,49,18,76,70,36,96,60,20,80,45,17,78,33,11,70,39,13,73,49,19,81,42,15,75,37,13,78,30,9,68,42,16,75,29,8,66,22,8,45,54,23,83,47,18,79,41,16,74,41,14,84
'020904,28,13,74,46,22,81,86,57,86,.,.,.,55,24,86,45,0,55,43,18,81,56,25,88,49,23,85,-1,-1,-1,23,7,70,53,24,84,26,9,71,19,3,50,56,25,87,56,25,88,49,22,79,42,17,67
'020905,28,10,62,39,17,72,71,41,92,38,0,50,40,15,72,28,8,61,32,11,66,43,16,76,34,11,68,38,17,62,20,6,53,38,14,68,22,5,58,22,7,40,53,23,81,41,16,72,39,15,70,33,13,69
'020906,33,11,72,46,22,78,80,60,80,.,.,.,45,18,77,31,8,64,39,13,71,50,18,82,40,14,74,50,38,100,22,4,66,42,18,73,29,7,65,18,6,42,51,21,82,47,18,79,40,18,72,49,17,85
