DISTRICT,DD000A001222R,DD000A001322R,DD000A001S22R,DD200A001222R,DD200A001322R,DD200A001S22R,DD300A001222R,DD300A001322R,DD300A001S22R,DD400A001222R,DD400A001322R,DD400A001S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDB00A001222R,DDB00A001322R,DDB00A001S22R,DDE00A001222R,DDE00A001322R,DDE00A001S22R,DDF00A001222R,DDF00A001322R,DDF00A001S22R,DDH00A001222R,DDH00A001322R,DDH00A001S22R,DDI00A001222R,DDI00A001322R,DDI00A001S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDM00A001222R,DDM00A001322R,DDM00A001S22R,DDR00A001222R,DDR00A001322R,DDR00A001S22R,DDS00A001222R,DDS00A001322R,DDS00A001S22R,DDW00A001222R,DDW00A001322R,DDW00A001S22R,DISTNAME,DNC00A001222R,DNC00A001322R,DNC00A001S22R,DNM00A001222R,DNM00A001322R,DNM00A001S22R,DNS00A001222R,DNS00A001322R,DNS00A001S22R
"'015907",25,10,53,35,15,81,39,21,63,44,17,67,29,11,58,24,8,49,27,10,55,31,12,60,29,11,58,11,3,44,22,8,50,28,11,55,19,6,48,17,7,33,47,24,69,"SAN ANTONIO ISD",30,11,58,29,11,56,26,10,55
"'015908",23,8,49,39,22,67,65,48,74,11,11,67,26,9,54,28,14,46,25,9,53,27,9,56,26,9,54,14,0,43,20,6,47,26,9,53,21,7,48,18,8,31,29,9,58,"SOUTH SAN ANTONIO ISD",28,10,56,23,7,50,18,4,45
"'015909",41,18,72,62,14,97,88,59,100,-1,-1,-1,48,21,77,61,29,82,45,20,75,50,22,79,47,21,76,-1,-1,-1,41,18,72,46,21,74,35,14,67,27,13,49,56,31,79,"SOMERSET ISD",49,22,77,46,21,75,75,35,85
"'015910",41,19,69,65,38,86,79,54,93,40,16,66,55,29,79,37,16,65,46,22,72,56,30,81,49,23,76,48,18,78,38,17,67,54,28,78,36,13,66,26,9,48,71,42,89,"NORTH EAST ISD",57,30,81,49,25,74,53,26,80
"'015911",19,4,49,43,16,72,35,15,64,33,20,87,29,10,59,26,9,53,24,9,54,32,10,62,28,9,57,36,15,67,18,4,48,27,9,56,18,4,49,13,2,27,38,15,67,"EAST CENTRAL ISD",30,10,60,26,9,56,26,10,53
"'015912",28,11,60,42,16,81,60,31,90,50,17,83,37,15,67,37,15,65,34,13,64,37,14,68,36,14,66,34,14,69,28,11,60,37,15,65,27,9,59,20,7,38,51,24,76,"SOUTHWEST ISD",39,16,69,32,12,61,41,22,72
"'015913",38,13,63,45,24,82,83,33,100,-1,-1,-1,53,25,82,43,17,78,46,15,78,50,26,83,55,22,82,0,0,0,31,12,58,55,24,82,31,9,66,20,3,42,56,29,84,"LACKLAND ISD",57,24,83,52,25,82,56,13,94
"'015914",42,13,72,64,29,87,79,45,94,67,33,94,62,31,86,55,22,81,51,22,81,61,31,86,57,25,83,50,17,83,38,10,70,62,31,86,33,10,73,27,10,60,65,37,89,"FT SAM HOUSTON ISD",63,31,88,61,31,85,48,25,80
"'015915",34,14,63,56,29,81,62,37,82,54,26,83,47,21,74,40,17,70,34,13,64,48,22,76,42,18,71,44,22,70,27,10,57,45,21,73,33,12,65,23,8,44,62,34,85,"NORTHSIDE ISD",48,22,76,42,19,70,43,22,76
"'015916",33,13,64,44,20,75,63,34,88,46,12,81,38,16,68,31,11,61,33,13,65,39,16,71,37,15,68,48,19,79,29,11,61,37,15,66,31,11,64,19,7,40,49,24,77,"JUDSON ISD",40,17,71,34,14,64,32,14,66
"'015917",32,14,63,66,31,93,38,13,56,.,.,.,38,16,67,33,17,57,36,15,65,41,17,70,38,16,67,10,10,40,32,14,62,35,16,64,28,10,60,21,10,39,45,24,70,"SOUTHSIDE ISD",39,17,69,35,14,63,34,13,55
"'016901",29,11,58,75,25,88,14,14,100,.,.,.,57,26,84,.,.,.,42,20,72,61,29,87,49,22,75,.,.,.,24,10,55,53,23,81,27,9,64,17,6,43,60,28,87,"JOHNSON CITY ISD",57,24,85,57,30,83,78,22,89
"'016902",25,10,55,50,17,71,-1,-1,-1,.,.,.,52,24,79,24,10,52,36,14,67,52,25,82,40,15,70,-1,-1,-1,19,5,48,52,23,76,22,5,58,20,10,42,61,31,86,"BLANCO ISD",51,24,78,52,24,81,50,17,92
"'017901",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,70,33,94,.,.,.,52,16,90,74,34,95,50,16,85,-1,-1,-1,-1,-1,-1,67,33,93,46,11,91,57,23,87,74,37,96,"BORDEN COUNTY ISD",74,39,94,63,23,93,77,54,100
"'018901",24,9,62,39,11,64,57,36,64,-1,-1,-1,48,22,80,25,7,64,36,13,73,52,26,81,37,14,74,.,.,.,17,10,53,44,20,78,24,8,63,26,11,55,57,30,86,"CLIFTON ISD",49,23,80,45,22,80,68,30,98
"'018902",21,10,43,.,.,.,.,.,.,.,.,.,33,14,65,.,.,.,26,10,61,33,12,64,21,8,54,.,.,.,21,10,43,34,15,66,.,.,.,19,13,43,-1,-1,-1,"MERIDIAN ISD",33,13,65,34,15,65,15,0,55
"'018903",14,8,30,8,8,15,.,.,.,.,.,.,27,12,53,.,.,.,28,12,55,28,13,52,31,12,57,-1,-1,-1,14,8,30,26,11,54,12,5,28,6,6,21,26,14,54,"MORGAN ISD",31,13,55,22,12,51,.,.,.
"'018904",24,6,51,50,18,87,-1,-1,-1,.,.,.,48,20,76,22,0,44,38,12,71,46,22,77,39,12,70,.,.,.,17,5,44,49,19,75,19,3,47,23,9,43,51,24,79,"VALLEY MILLS ISD",50,22,78,39,15,71,48,22,81
"'018905",29,13,59,80,40,100,-1,-1,-1,.,.,.,34,13,61,-1,-1,-1,33,13,60,33,15,60,31,10,58,.,.,.,29,13,59,34,11,62,26,10,55,11,6,26,38,16,63,"WALNUT SPRINGS ISD",33,13,61,39,11,61,31,25,63
"'018906",.,.,.,.,.,.,.,.,.,.,.,.,53,22,82,.,.,.,46,20,77,54,26,77,47,16,76,.,.,.,.,.,.,51,18,85,29,9,66,44,15,63,54,23,84,"IREDELL ISD",55,23,82,47,20,82,64,7,100
"'018907",.,.,.,15,15,31,.,.,.,.,.,.,33,14,58,0,0,20,30,14,54,29,11,53,30,10,55,.,.,.,.,.,.,37,16,62,18,8,43,5,0,18,36,15,61,"KOPPERL ISD",30,13,56,38,15,62,22,11,44
